MASS_EXTRAP,MASS_ERROR
1946892.25,280015.75
1136029.25,271633.0
9448209.0,1159064.0
763379.25,212041.9375
2120985.75,281509.375
882098.375,298349.0
325154.8125,100021.09375
4470292.0,534318.25
560753.875,133554.8125
334606.5625,112318.53125
121681.640625,29482.3125
606233.9375,142357.6875
272987.84375,108285.046875
285365.375,72875.09375
353992.875,34072.53125
225636.828125,53009.359375
587597.4375,164761.5
204787.484375,75720.7890625
512202.1875,166313.59375
382430.5625,109583.75
953541.0625,229885.125
527567.75,67248.96875
1557760.25,342031.25
403680.8125,116454.21875
933806.9375,267133.75
181853.15625,34467.828125
397194.6875,124364.9375
1186804.75,237805.1875
3205991.0,331455.5
1980554.125,466429.375
871146.5625,208963.4375
893672.6875,222661.1875
317525.71875,96482.921875
4434681.0,992802.25
740199.125,253872.0625
702799.375,191147.6875
257575.21875,94829.625
375653.6875,73332.75
657000.375,118963.625
603996.375,156223.25
191540.25,65564.0625
463664.0625,116082.3125
424998.6875,109476.5625
246177.203125,68543.34375
561993.0,149281.09375
352066.0625,80367.3125
1244874.125,305622.5
768437.1875,183036.25
1099261.875,326471.25
192938.75,40209.34375
114036.0,28550.6328125
103827.9921875,25267.5625
233430.03125,66258.703125
1390693.375,264174.75
401711.65625,121241.53125
394820.34375,130604.375
1732840.5,377350.0
1077469.875,184710.9375
1683376.625,384563.75
594112.75,189604.0625
848004.25,172302.375
692123.8125,196282.3125
770181.375,195847.3125
270049.75,68631.609375
514333.09375,142388.28125
649208.125,168669.84375
510578.53125,176258.90625
356249.6875,91606.875
413667.3125,153386.203125
2323932.25,364319.125
356925.625,111457.171875
253078.703125,48535.578125
232275.53125,74397.578125
1572373.625,317511.375
2009430.25,362733.25
122959.9609375,27221.0078125
183528.515625,47904.265625
486619.6875,123186.78125
603850.0,166575.34375
579316.5,161809.71875
1446433.75,214637.0
593940.625,156601.21875
3016021.5,327306.0
503671.9375,129132.125
512956.96875,153842.875
664577.5625,188145.28125
852600.875,217620.8125
113482.0078125,37345.765625
256049.78125,50323.390625
367203.5,73927.6875
639008.5,131431.375
282386.5625,82501.390625
281745.375,99885.046875
1546202.125,518753.4375
1002093.625,118688.875
242895.875,59870.03125
1250589.25,353799.625
173457.328125,46145.7578125
154304.34375,44457.3671875
222776.34375,59865.78125
526099.375,146663.09375
374850.375,101778.875
550113.9375,82445.4375
683309.875,158218.5625
1008725.5,226378.25
607791.375,169681.75
1164743.5,337140.4375
1607822.0,330748.5
374501.03125,81755.75
91256.5078125,17723.1484375
888255.625,201023.625
3761662.75,825989.25
359079.8125,88075.3125
203749.8125,46597.140625
545320.25,184405.21875
1391713.375,264136.625
212699.6875,54379.703125
559751.8125,167179.40625
1459435.5,309634.125
1614202.875,384385.75
317648.84375,50477.46875
274543.21875,79308.703125
720850.3125,203804.40625
274817.21875,92117.09375
780651.875,211640.625
573747.4375,157754.6875
984902.3125,177205.75
1620369.25,316746.875
319268.0625,87420.796875
1330369.375,300261.8125
468333.53125,160388.9375
608960.875,17177.25
138423.5,41374.9140625
157705.859375,52656.609375
875371.0625,268970.9375
904514.125,226523.5625
1067039.625,237453.25
224833.5,77600.96875
922356.75,296347.0
424887.90625,115797.15625
2538928.0,431352.75
443523.84375,100896.75
631451.375,162561.96875
400464.46875,109219.53125
2282472.75,427424.125
2948377.25,486061.25
585699.75,192794.75
177956.46875,51758.171875
489804.0625,66440.03125
1059831.75,357456.5
2708713.5,568346.75
337372.0,108580.953125
1454330.0,312683.875
2446407.0,248994.75
2605239.25,358289.5
277318.53125,99119.90625
184408.328125,49774.09375
8237826.5,1486942.5
1067763.0,308995.75
900264.1875,184640.3125
7508971.0,1712982.5
2333682.75,397556.625
372323.78125,122875.875
3054543.0,494596.0
2397246.0,235967.5
2578489.5,586854.5
3308938.75,393437.75
3908563.5,620509.25
483426.4375,54603.4375
1119220.25,292201.4375
63205.1484375,21123.25390625
3137600.5,560804.0
578955.875,187143.0625
338761.28125,74093.9375
241571.046875,61870.671875
1130162.5,328387.8125
3938417.5,897979.25
466804.25,151874.96875
358266.09375,118398.078125
375403.4375,106226.5625
1821177.875,390876.625
808261.125,306574.1875
1543585.5,243643.375
523502.25,168988.75
373407.75,95524.5
150708.078125,41698.1875
83353.2109375,25827.76953125
2454400.25,384168.875
82423.671875,15479.96875
4261143.0,740737.0
433795.96875,123929.75
779131.1875,228074.75
3155901.75,589986.5
1784830.75,215047.375
798450.5,120815.625
834465.9375,230553.1875
207539.1875,64055.515625
233739.578125,72044.78125
696634.8125,219317.65625
620651.25,193073.15625
265357.46875,35448.671875
411153.46875,63602.625
388185.6875,116499.96875
5843430.0,665367.0
312072.15625,102672.28125
270640.65625,85080.25
306733.84375,94144.359375
597609.4375,128031.8125
106318.4453125,40743.84375
1090265.75,440151.25
4956533.0,584499.0
71226.6953125,35934.91015625
866151.6875,261213.875
1166284.5,256659.5
3002024.25,618955.75
336544.21875,62297.15625
736405.6875,177239.4375
305822.375,38726.375
1480891.75,312666.5
1017213.25,235533.25
1957777.5,396014.25
610900.375,140063.125
193479.34375,54743.21875
2644718.5,655704.375
53562.86328125,9675.79296875
842862.0,144667.5625
969547.6875,163671.625
2122276.0,480338.625
498944.65625,144553.375
469100.9375,140023.65625
2284586.25,349159.75
2103203.25,291390.625
1527521.875,248830.125
125277.9609375,31752.265625
788146.3125,224980.3125
298249.25,91851.859375
484284.4375,132019.625
513631.90625,164800.09375
451995.0,143163.25
1133648.875,313522.1875
1832619.75,568550.625
1041217.8125,119549.0
905297.25,298999.125
991825.5625,235145.375
2715363.5,259417.5
265204.90625,86448.03125
953864.75,221182.1875
70334.0,8951.51953125
221572.453125,91572.125
939124.0,243447.0
501665.15625,107324.21875
1031574.125,281767.6875
322889.8125,105406.171875
357381.71875,118141.9375
1919605.375,260703.25
1430159.875,294400.125
731275.75,225211.84375
739383.5,278002.0
146650.0,39417.6171875
1021706.875,304999.5625
304389.90625,31231.9375
1415630.25,343183.5
410997.25,144923.53125
1451005.125,497691.3125
1971630.0,373981.25
1845186.375,455636.875
3112848.5,271418.5
329777.53125,80828.59375
1589916.25,238665.5
3393487.25,434049.0
680070.125,198317.21875
1103231.25,293462.875
3123660.25,655023.25
135307.46875,25815.03125
877722.6875,250907.875
703979.9375,182920.0625
109316.1328125,48334.828125
1946307.25,274805.625
621707.9375,217595.125
942511.625,266528.4375
2387764.5,554454.625
2980209.5,527988.25
2515006.75,346520.0
2481786.5,306894.5
391742.21875,100970.96875
191559.453125,62039.265625
470178.09375,103042.71875
527037.3125,72600.46875
105200.109375,5309.8125
1078312.75,281672.4375
319451.125,97988.28125
1657693.0,519575.5
289112.3125,76973.921875
1077327.75,357742.9375
2654747.25,395437.75
610699.75,139579.78125
134521.515625,40619.1328125
1884137.125,387456.0
2937786.0,577085.75
1115263.5,240372.6875
1121902.25,402644.75
921930.0,266386.9375
546966.9375,189313.46875
499766.5,96369.875
1240826.375,365021.0
245837.671875,88300.75
919804.1875,325171.9375
1801816.625,280409.25
2054953.0,348287.375
450958.78125,116420.09375
46956.30078125,4743.3046875
2736657.75,644229.0
1027633.8125,331618.3125
4798809.0,400860.0
1234665.625,172261.625
2697643.0,610521.625
907846.8125,289247.25
4645544.5,771159.0
2690986.25,545865.25
1925106.125,324359.875
2826731.5,678014.75
632261.625,158079.0
366638.21875,56840.9375
198079.703125,64608.3125
5072610.0,331246.0
725775.4375,127462.0
2734129.25,181903.75
700303.5625,171713.125
1431332.0,342956.375
347952.75,125689.140625
125857.6328125,40126.1484375
511230.9375,170256.9375
1008556.3125,297197.5625
2109886.5,483432.5
176600.015625,33424.6875
1202365.625,148398.625
803161.8125,169498.625
1648694.75,681245.9375
393644.40625,119296.53125
207116.609375,85337.96875
506028.65625,230412.21875
1432576.625,214091.375
833616.1875,284177.4375
5249565.0,234352.5
746026.75,240880.59375
440846.9375,116985.90625
3058184.5,459862.25
485808.53125,150358.34375
2548908.5,535549.375
3766862.5,539455.0
1812607.625,493059.375
2051386.875,450847.125
650774.125,210693.46875
1933414.625,395584.0
740925.0,233653.28125
422357.375,91951.84375
39934.15234375,13925.470703125
123190.0546875,22166.78125
397230.125,115474.0
258724.203125,76468.296875
401892.59375,135664.3125
2104731.25,290141.25
2506634.0,391281.75
1406396.125,429337.3125
612450.25,151560.3125
1051781.625,176909.25
316012.3125,104269.0625
1244652.0,509591.5625
2680807.5,473982.25
252155.34375,72192.671875
461842.625,159889.09375
2102427.0,664464.625
172431.125,40940.453125
5736844.0,626855.0
750494.875,238318.5
1064328.125,327921.9375
824831.25,214407.75
1949587.25,474973.625
2298044.0,362628.625
617939.75,203911.1875
581976.375,155714.5
2663697.25,650847.5
950453.1875,290938.6875
867187.0625,274604.125
456537.375,146989.0625
538325.5625,169141.25
631385.9375,169547.03125
1161426.25,244691.8125
